GEO_ID,NAME,S1810_C01_048E,S1810_C01_049E,S1810_C01_052E
Geography,Geographic Area Name,Estimate!!Total!!Total civilian noninstitutionalized population!!DISABILITY TYPE BY DETAILED AGE!!With an ambulatory difficulty!!Population under 18 years,Estimate!!Total!!Total civilian noninstitutionalized population!!DISABILITY TYPE BY DETAILED AGE!!With an ambulatory difficulty!!Population 18 to 64 years,Estimate!!Total!!Total civilian noninstitutionalized population!!DISABILITY TYPE BY DETAILED AGE!!With an ambulatory difficulty!!Population 65 years and over
1400000US36005000100,"Census Tract 1, Bronx County, New York",0,0,0
1400000US36005000200,"Census Tract 2, Bronx County, New York",798,2422,772
1400000US36005000400,"Census Tract 4, Bronx County, New York",1031,3753,801
1400000US36005001600,"Census Tract 16, Bronx County, New York",975,3378,1011
1400000US36005001901,"Census Tract 19.01, Bronx County, New York",268,1435,16
1400000US36005001902,"Census Tract 19.02, Bronx County, New York",260,865,81
1400000US36005001903,"Census Tract 19.03, Bronx County, New York",0,0,0
1400000US36005001904,"Census Tract 19.04, Bronx County, New York",0,0,0
1400000US36005002001,"Census Tract 20.01, Bronx County, New York",1198,2591,519
1400000US36005002002,"Census Tract 20.02, Bronx County, New York",626,3131,665
1400000US36005002300,"Census Tract 23, Bronx County, New York",912,2853,563
1400000US36005002400,"Census Tract 24, Bronx County, New York",0,0,0
1400000US36005002500,"Census Tract 25, Bronx County, New York",1073,3739,399
1400000US36005002701,"Census Tract 27.01, Bronx County, New York",652,1362,366
1400000US36005002702,"Census Tract 27.02, Bronx County, New York",835,2898,263
1400000US36005002800,"Census Tract 28, Bronx County, New York",476,3133,903
1400000US36005003100,"Census Tract 31, Bronx County, New York",417,1196,115
1400000US36005003300,"Census Tract 33, Bronx County, New York",933,1939,177
1400000US36005003500,"Census Tract 35, Bronx County, New York",1100,2119,282
1400000US36005003700,"Census Tract 37, Bronx County, New York",39,174,9
1400000US36005003800,"Census Tract 38, Bronx County, New York",221,662,218
1400000US36005003900,"Census Tract 39, Bronx County, New York",1543,3817,748
1400000US36005004001,"Census Tract 40.01, Bronx County, New York",264,839,272
1400000US36005004100,"Census Tract 41, Bronx County, New York",797,3787,616
1400000US36005004200,"Census Tract 42, Bronx County, New York",1654,4368,979
1400000US36005004300,"Census Tract 43, Bronx County, New York",937,3588,526
1400000US36005004400,"Census Tract 44, Bronx County, New York",940,2381,464
1400000US36005004600,"Census Tract 46, Bronx County, New York",422,1042,233
1400000US36005004800,"Census Tract 48, Bronx County, New York",855,3086,316
1400000US36005005001,"Census Tract 50.01, Bronx County, New York",1031,2542,547
1400000US36005005002,"Census Tract 50.02, Bronx County, New York",1377,3773,484
1400000US36005005100,"Census Tract 51, Bronx County, New York",1621,3203,684
1400000US36005005200,"Census Tract 52, Bronx County, New York",406,1055,257
1400000US36005005300,"Census Tract 53, Bronx County, New York",1634,2572,281
1400000US36005005400,"Census Tract 54, Bronx County, New York",746,3338,615
1400000US36005005600,"Census Tract 56, Bronx County, New York",277,1190,542
1400000US36005005902,"Census Tract 59.02, Bronx County, New York",488,1549,472
