system_code,location_code,location_name,Managed_by_name,location_type_description,Location_Category_Description,Status_descriptions,primary_address_line_1,lon,lat
15K001,K001,P.S. 001 The Bergen,DOE,General Academic,Elementary,Open,309 47 STREET,-74.01142,40.648959
17K002,K002,Parkside Preparatory Academy,DOE,General Academic,Junior High-Intermediate-Middle,Open,655 PARKSIDE AVENUE,-73.951575,40.656423
13K003,K003,P.S. 003 The Bedford Village,DOE,General Academic,Elementary,Open,50 JEFFERSON AVENUE,-73.955219,40.682311
75K004,K004,P.S. K004,DOE,Special Education,Elementary,Open,923 JEROME STREET,-73.879276,40.6585
16K005,K005,P.S. 005 Dr. Ronald McNair,DOE,General Academic,Elementary,Open,820 HANCOCK STREET,-73.92197,40.685241
17K006,K006,Norma Adams Clemons Academy,DOE,General Academic,Elementary,Open,43 SNYDER AVENUE,-73.956279,40.648973
19K007,K007,P.S. 007 Abraham Lincoln,DOE,General Academic,Elementary,Open,858 JAMAICA AVENUE,-73.872983,40.689213
13K008,K008,P.S. 008 Robert Fulton,DOE,General Academic,K-8,Open,37 HICKS STREET,-73.992841,40.700709
13K009,K009,P.S. 009 Teunis G. Bergen,DOE,General Academic,Elementary,Open,80 UNDERHILL AVENUE,-73.966333,40.678554
15K010,K010,"Magnet School of Math, Science and Design Technolo",DOE,General Academic,Elementary,Open,511 7 AVENUE,-73.985946,40.660912
13K011,K011,P.S. 011 Purvis J. Behan,DOE,General Academic,Elementary,Open,419 WAVERLY AVENUE,-73.96589,40.685896
17K012,K012,Dr. Jacqueline Peek-Davis School,DOE,General Academic,Elementary,Open,430 HOWARD AVENUE,-73.920095,40.673124
19K013,K013,P.S. 013 Roberto Clemente,DOE,General Academic,Elementary,Open,557 PENNSYLVANIA AVENUE,-73.893328,40.664067
22K014,K014,J.H.S. 014 Shell Bank,DOE,General Academic,Junior High-Intermediate-Middle,Open,2424 BATCHELDER STREET,-73.938107,40.593232
20K314,K314,PS 314 Luis Munoz Marin,DOE,General Academic,Elementary,Closed,330 59 STREET,-74.019,40.6422
15K015,K015,P.S. 015 Patrick F. Daly,DOE,General Academic,Elementary,Open,71 SULLIVAN STREET,-74.011864,40.677085
14K016,K016,P.S. 016 Leonard Dunkly,DOE,General Academic,Elementary,Open,157 WILSON STREET,-73.962049,40.706069
14K017,K017,P.S. 017 Henry D. Woodworth,DOE,General Academic,Elementary,Open,208 NORTH  5 STREET,-73.9573,40.715268
14K018,K018,P.S. 018 Edward Bush,DOE,General Academic,Elementary,Open,101 MAUJER STREET,-73.946695,40.71088
14K019,K019,P.S. 019 Roberto Clemente,DOE,General Academic,Elementary,Closed,325 SOUTH  3 STREET,-73.954678,40.710107
13K020,K020,P.S. 020 Clinton Hill,DOE,General Academic,Elementary,Open,225 ADELPHI STREET,-73.970896,40.690742
16K021,K021,P.S. 021 Crispus Attucks,DOE,General Academic,Elementary,Open,180 CHAUNCEY STREET,-73.926673,40.68035
17K022,K022,P.S. 022,DOE,General Academic,Elementary,Closed,443 ST MARKS AVENUE,-73.960093,40.6771
14K023,K023,P.S. 023 Carter G. Woodson,DOE,General Academic,Elementary,Open,545 WILLOUGHBY AVENUE,-73.947256,40.69447
15K024,K024,P.S. 024,DOE,General Academic,Elementary,Open,427 38 STREET,-74.004533,40.652832
16K025,K025,P.S. 025 Eubie Blake School,DOE,General Academic,Elementary,Open,787 LAFAYETTE AVENUE,-73.940749,40.691472
16K026,K026,P.S. 026 Jesse Owens,DOE,General Academic,Elementary,Open,1014 LAFAYETTE AVENUE,-73.9317,40.6921
16K026,K026,P.S. 026 Jesse Owens,DOE,General Academic,Elementary,Open,1014 LAFAYETTE AVENUE,-73.9317,40.6921
15K027,K027,Agnes Y. Humphrey School for Leadership,DOE,General Academic,K-12 all grades,Closed,27 HUNTINGTON STREET,-74.005151,40.677914
16K028,K028,P.S. 028 The Warren Prep Academy,DOE,General Academic,Elementary,Open,265 RALPH AVENUE,-73.921099,40.680239
15K029,K029,P.S. 029 John M. Harrigan,DOE,General Academic,Elementary,Open,425 HENRY STREET,-73.997447,40.686843
20K030,K030,P.S./I.S. 30 Mary White Ovington,DOE,General Academic,K-8,Open,7002 4TH AVENUE,-74.02395,40.633598
14K031,K031,P.S. 031 Samuel F. Dupont,DOE,General Academic,Elementary,Open,75 MESEROLE AVENUE,-73.954139,40.72697
15K032,K032,P.S. 032 Samuel Mills Sprole,DOE,General Academic,Elementary,Open,317 HOYT STREET,-73.991141,40.680159
14K033,K033,JHS 033 Mark Hopkins,DOE,General Academic,Junior High-Intermediate-Middle,Closed,70 TOMPKINS AVENUE,-73.9466,40.6971
